Event ID,dd/MM/yyyy HH:mm,Performative,Sender,Receiver,Objet,Lieu
AC32,28/07/1926 08:00,delegate,TTaGL,LyTT,elever digue,Thuận Tốn
AC33,28/07/1926 08:00,delegate,TTaGL,ACGC,construire diguette,?
10,28/07/1926 08:00,inform,RFBN,TLDD,situation grave,Đông Dư
10,28/07/1926 08:00,inform,RFBN,TLGT,situation grave,Gia Thụy
10,28/07/1926 08:00,inform,RFBN,TLDT,situation grave,Đa Tốn
10,28/07/1926 08:00,inform,RFBN,TLCL,situation grave,Cự Linh
10,28/07/1926 08:00,inform,RFBN,LyXQ,situation grave,Xuân Quan
10,28/07/1926 08:00,inform,RFBN,LyDD,situation grave,Đông Dư
10,28/07/1926 08:00,inform,RFBN,LyGC,situation grave,Giang Cao
10,28/07/1926 08:00,inform,RFBN,LyTT,situation grave,Thuận Tốn
10,28/07/1926 08:00,inform,RFBN,LyTD,situation grave,Đa Tốn
10,28/07/1926 08:00,inform,RFBN,LyCL,situation grave,Cự Linh
10,28/07/1926 08:00,inform,RFBN,LyPV,situation grave,Phú Viên
10,28/07/1926 08:00,inform,RFBN,LyLD,situation grave,Lâm Du
11,28/07/1926 08:00,delegate,TDBN,TLDD,construire diguette,Đông Dư
11,28/07/1926 08:00,delegate,TDBN,TLGT,construire diguette,Gia Thụy
11,28/07/1926 08:00,delegate,TDBN,TLDT,construire diguette,Đa Tốn
11,28/07/1926 08:00,delegate,TDBN,TLCL,construire diguette,Cự Linh
11,28/07/1926 08:00,delegate,TDBN,LyXQ,construire diguette,Xuân Quan
11,28/07/1926 08:00,delegate,TDBN,LyDD,construire diguette,Đông Dư
11,28/07/1926 08:00,delegate,TDBN,LyGC,construire diguette,Giang Cao
11,28/07/1926 08:00,delegate,TDBN,LyTT,construire diguette,Thuận Tốn
11,28/07/1926 08:00,delegate,TDBN,LyTD,construire diguette,Đa Tốn
11,28/07/1926 08:00,delegate,TDBN,LyCL,construire diguette,Cự Linh
11,28/07/1926 08:00,delegate,TDBN,LyPV,construire diguette,Phú Viên
11,28/07/1926 08:00,delegate,TDBN,LyLD,construire diguette,Lâm Du
11,28/07/1926 08:00,execute,TLDD,System,construire diguette,Đông Dư
11,28/07/1926 08:00,execute,TLGT,System,construire diguette,Gia Thụy
11,28/07/1926 08:00,execute,TLDT,System,construire diguette,Đa Tốn
11,28/07/1926 08:00,execute,TLCL,System,construire diguette,Cự Linh
11,28/07/1926 08:00,execute,LyXQ,System,construire diguette,Xuân Quan
11,28/07/1926 08:00,execute,LyDD,System,construire diguette,Đông Dư
11,28/07/1926 08:00,execute,LyGC,System,construire diguette,Giang Cao
11,28/07/1926 08:00,execute,LyTT,System,construire diguette,Thuận Tốn
11,28/07/1926 08:00,execute,LyTD,System,construire diguette,Đa Tốn
11,28/07/1926 08:00,execute,LyCL,System,construire diguette,Cự Linh
11,28/07/1926 08:00,execute,LyPV,System,construire diguette,Phú Viên
11,28/07/1926 08:00,execute,LyLD,System,construire diguette,Lâm Du
12,28/07/1926 08:00,delegate,TDBN,TLDD,surveiller,Đông Dư
12,28/07/1926 08:00,delegate,TDBN,TLGT,surveiller,Gia Thụy
12,28/07/1926 08:00,delegate,TDBN,TLDT,surveiller,Đa Tốn
12,28/07/1926 08:00,delegate,TDBN,TLCL,surveiller,Cự Linh
12,28/07/1926 08:00,delegate,TDBN,LyXQ,surveiller,Xuân Quan
